NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
167,Ruteng (RTG) - Kupang (KOE),422.0,20766.0,30384.0,51753.0,6695.0,"68,3%"
168,Labuhan Bajo (LBJ) - Bajawa (BJW),509.0,20666.0,36648.0,27678.0,6807.0,"56,4%"
169,Namlea (NAM) - Ambon (AMQ),451.0,20470.0,32472.0,21233.0,3436.0,"63,0%"
170,Wangi-Wangi (WNI) - Kendari (KDI),452.0,19564.0,32544.0,64883.0,12203.0,"60,1%"
171,Jakarta-HLP (HLP) - Samarinda (AAP),178.0,19474.0,27768.0,6190.0,60.0,"70,1%"
172,Jakarta (CGK) - Pangkalan Bun (PKN),243.0,18946.0,29160.0,208774.0,,"65,0%"
173,Teluk Bintoni (BXB) - Ambon (AMQ),526.0,18448.0,37872.0,21384.0,1117.0,"48,7%"
174,Palembang (PLM) - Bandung (BDO),389.0,18370.0,43023.0,41415.0,1311.0,"42,7%"
175,Yogyakarta (YIA) - Batam (BTH),156.0,17939.0,33228.0,37957.0,161.0,"54,0%"
176,Maumere (MOF) - Denpasar (DPS),429.0,17577.0,31176.0,109038.0,21089.0,"56,4%"
177,Bandar Lampung (TKG) - Jakarta-HLP (HLP),278.0,17533.0,30532.0,4334.0,,"57,4%"
178,Surabaya (SUB) - Sorong (SOQ),149.0,17303.0,24574.0,112597.0,755.0,"70,4%"
179,Makassar (UPG) - Bima (BMU),408.0,17163.0,29376.0,15049.0,3504.0,"58,4%"
180,Jakarta (CGK) - Lubuk Linggau (LLJ),165.0,16592.0,25740.0,8262.0,40.0,"64,5%"
181,Yogyakarta (YIA) - Jakarta-HLP (HLP),171.0,16478.0,26748.0,251.0,,"61,6%"
182,Palu (PLW) - Luwuk (LUW),333.0,15780.0,23976.0,9397.0,295.0,"65,8%"
183,Makassar (UPG) - Batulicin (BTW),298.0,15664.0,21456.0,8575.0,290.0,"73,0%"
184,Labuhan Bajo (LBJ) - Kupang (KOE),362.0,15649.0,29466.0,55822.0,268.0,"53,1%"
185,Surabaya (SUB) - Semarang (SRG),356.0,15639.0,26022.0,20904.0,16506.0,"60,1%"
186,Tanah Merah (TMH) - Jayapura (DJJ),465.0,15428.0,22396.0,47680.0,,"68,9%"
187,Makassar (UPG) - Palopo (Bua) (LLO),460.0,15323.0,31472.0,30557.0,5082.0,"48,7%"
188,Makassar (UPG) - Toraja (TRT),423.0,14576.0,29208.0,4540.0,,"49,9%"
189,Anambas (LMU) - Batam (BTH),311.0,13520.0,22392.0,5806.0,,"60,4%"
190,Manado (MDC) - Luwuk (LUW),332.0,13130.0,23904.0,10237.0,442.0,"54,9%"
191,Semarang (SRG) - Jakarta-HLP (HLP),126.0,13008.0,19944.0,,,"65,2%"
192,Lhokseumawe (LSW) - Medan (KNO),237.0,12924.0,17064.0,37186.0,4535.0,"75,7%"
193,Makassar (UPG) - Bandung (BDO),116.0,12734.0,21924.0,127913.0,,"58,1%"
194,Batulicin (BTW) - Banjarmasin (BDJ),292.0,12619.0,21024.0,5460.0,477.0,"60,0%"
195,Ternate (TTE) - Ambon (AMQ),147.0,12472.0,25092.0,37052.0,,"49,7%"
196,Makassar (UPG) - Muna (RAQ),332.0,12296.0,23024.0,14735.0,2456.0,"53,4%"
197,Jakarta-HLP (HLP) - Jayapura (DJJ),168.0,12286.0,26602.0,36905.0,,"46,2%"
198,Langgur (LUV) - Dobo (DOB),243.0,11999.0,17496.0,124691.0,16949.0,"68,6%"
199,Surabaya (SUB) - Palembang (PLM),106.0,11764.0,20502.0,43888.0,,"57,4%"
200,Kupang (KOE) - Atambua (ABU),277.0,11747.0,19944.0,25541.0,4522.0,"58,9%"
201,Solo (SOC) - Pontianak (PNK),208.0,11356.0,17424.0,82827.0,,"65,2%"
202,Dobo (DOB) - Ambon (AMQ),243.0,11053.0,17496.0,58840.0,8907.0,"63,2%"
203,Manado (MDC) - Gorontalo (GTO),273.0,10337.0,19656.0,2584.0,104.0,"52,6%"
204,Surabaya (SUB) - Banyuwangi (BWX),470.0,10106.0,31000.0,1853.0,12.0,"32,6%"
205,Ternate (TTE) - Morotai (OTI),208.0,9862.0,14976.0,542.0,22.0,"65,9%"
206,Serui (ZRI) - Jayapura (DJJ),310.0,9752.0,14932.0,2689.0,,"65,3%"
207,Putu Sibau (PSU) - Pontianak (PNK),256.0,9620.0,18432.0,1638.0,,"52,2%"
208,Tambolaka (TMC) - Ende (ENE),313.0,9541.0,22536.0,15998.0,6353.0,"42,3%"
209,Medan (KNO) - Sibolga (FLZ),230.0,9366.0,16560.0,28619.0,4244.0,"56,6%"
210,Bandar Lampung (TKG) - Batam (BTH),108.0,9349.0,16564.0,5320.0,,"56,4%"
211,Jakarta (CGK) - Sibolga (FLZ),242.0,9331.0,23232.0,60354.0,,"40,2%"
212,Lewoleba (LWE) - Kupang (KOE),214.0,9210.0,15408.0,5370.0,1839.0,"59,8%"
213,Makassar (UPG) - Selayar (KSR),248.0,9152.0,16544.0,963.0,69.0,"55,3%"
214,Semarang (SRG) - Batam (BTH),94.0,9039.0,19014.0,16474.0,343.0,"47,5%"
215,Moa (JIO) - Ambon (AMQ),274.0,8966.0,13196.0,2470.0,125.0,"67,9%"
216,Semarang (SRG) - Ketapang (KTG),231.0,8950.0,16632.0,38960.0,,"53,8%"
217,Nabire (NBX) - Biak (BIK),294.0,8930.0,20580.0,41117.0,,"43,4%"
218,Yogyakarta (JOG) - Denpasar (DPS),172.0,8465.0,12384.0,357.0,,"68,4%"
219,Jakarta (CGK) - Sampit (SMQ),111.0,8290.0,13320.0,145405.0,,"62,2%"
220,Makassar (UPG) - Pontianak (PNK),93.0,8018.0,17577.0,3685.0,366.0,"45,6%"
