waktu_id,rute_id,jumlah_penerbangan,jumlah_penumpang,kapasitas_seat,jumlah_barang_kg,jumlah_pos_kg,load_factor_pct
2020,633,213,7034,15336,12905.0,0.0,45.87
2020,634,64,1774,4608,348.0,0.0,38.5
2020,636,1007,142995,211429,1065163.0,3858.0,67.63
2020,637,410,34584,64032,87687.0,0.0,54.01
2020,638,96,2670,6912,0.0,0.0,38.63
2020,639,108,12493,19440,6568.0,0.0,64.26
2020,640,38,1525,4560,14030.0,0.0,33.44
2020,641,200,15213,35658,109690.0,0.0,42.66
2020,642,221,28176,42066,160158.0,1927.0,66.98
2020,643,389,14882,27752,6080.0,0.0,53.62
2020,644,200,7319,23600,37425.0,0.0,31.01
2020,645,102,11026,19564,75862.0,0.0,56.36
2020,646,194,7376,13968,6556.0,0.0,52.81
2020,647,152,5558,10944,0.0,0.0,50.79
2020,648,1854,198172,328906,2823317.0,102553.0,60.25
2020,649,674,27467,48372,10129.0,0.0,56.78
2020,650,244,18305,28910,252314.0,0.0,63.32
2020,651,466,20134,33548,2142.0,0.0,60.02
2020,652,197,19635,37233,134437.0,0.0,52.74
2020,653,1079,127165,199188,723442.0,9894.0,63.84
2020,655,179,19537,33642,29299.0,10.0,58.07
2020,656,216,23996,40824,20359.0,10.0,58.78
2020,657,176,5910,12672,6917.0,0.0,46.64
2020,658,910,44930,65012,99494.0,0.0,69.11
2020,661,382,16651,27504,15723.0,0.0,60.54
